Your Publication's Number|Title|Earliest Priority Date|Publication Date|Assignee(s)|Inventors|CPC Codes
US9402573_B2|System and method for detecting fluid responsiveness of a patient|8/22/2012|8/2/2016|COVIDIEN|"Addison, Paul Stanley (Edinburgh);
Su, Mark (Boulder);
Watson, James Nicholas (Dunfermline)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9375279_B2|Methods of adjusting an ablation field radiating into tissue using microwave field-detecting needle assemblies|12/23/2010|6/28/2016|COVIDIEN|Brannan, Joseph D. (Erie)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61N: ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION;
G01R: MEASURING ELECTRIC VARIABLES; MEASURING MAGNETIC VARIABLES;
H01Q: ANTENNAS, i.e. RADIO AERIALS"
US9622730_B2|Surgical retrieval apparatus|11/21/2011|4/18/2017|COVIDIEN|Farascioni, David M. (Bethel)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US9700217_B2|Method and apparatus for noninvasive blood pressure measurement using pulse oximetry|2/18/2011|7/11/2017|COVIDIEN|"Li, Youzhi (Longmont);
Chen, Bo (Louisville);
Lisogurski, Daniel (Boulder)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9358011_B2|Endoscopic surgical clip applier with connector plate|8/29/2008|6/7/2016|"COVIDIEN;
TYCO HEALTHCARE"|"Whitfield, Kenneth H. (North Haven);
Sorrentino, Gregory (Wallingford)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20150359549_A1|Systems and methods for removing obstructive matter from body lumens and treating vascular defects|12/23/2008|12/17/2015|COVIDIEN|"Strauss, Brian (Trabuco Canyon);
Shimada, Lynn (Orange);
Lenker, Jay (Laguna Beach)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US9763815_B2|Protuberant aneurysm bridging device deployment method|11/4/2011|9/19/2017|COVIDIEN|"Strauss, Brian (Trabuco Canyon);
Valko, Jeffrey (San Clemente);
Henson, Michael (Irvine);
Pecor, Robert (North Barrington);
Valko, Jeffrey (Sam Clemente)"|"A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION"
US9949853_B2|Delivery system with hooks for resheathability|4/23/2012|4/24/2018|COVIDIEN|Huynh, Andy (Westminster)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS"
US9375198_B2|Methods and systems for enhancing ultrasonic visibility of energy-delivery devices within tissue|6/26/2012|6/28/2016|COVIDIEN|"Brannan, Joseph D. (Erie);
Arts, Gene H. (Berthoud);
Peterson, Darion R. (Boulder);
Larson, Eric W. (Commerce City);
Vantuno, John R. (Broomfield)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US10045813_B2|Jaw roll joint|10/30/2009|8/14/2018|COVIDIEN|Mueller, Peter M. (Frederick)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US10335226_B2|Surgical forceps capable of adjusting sealing pressure based on vessel size|11/16/2009|7/2/2019|COVIDIEN|"Dunne, J. Bruce (Longmont);
Harper, Jennifer S. (Westminster)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
USRE46179_E1|Rotation knobs for surgical instruments|9/13/2011|10/18/2016|"COVIDIEN;
TYCO HEALTHCARE"|Hart, Keir (Lafayette)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
USRE46362_E1|Twin sealing chamber hub|11/16/2009|4/11/2017|COVIDIEN|Decarlo, Arnold V. (Frederick)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US9943367_B2|System and method for monitoring ablation size|10/28/2009|4/17/2018|COVIDIEN|Brannan, Joseph D. (Erie)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G01S: RADIO DIRECTION-FINDING; RADIO NAVIGATION; DETERMINING DISTANCE OR VELOCITY BY USE OF RADIO WAVES; LOCATING OR PRESENCE-DETECTING BY USE OF THE REFLECTION OR RERADIATION OF RADIO WAVES; ANALOGOUS ARRANGEMENTS USING OTHER WAVES;
H04W: WIRELESS COMMUNICATION NETWORKS"
US20150297291_A1|Combined thermal therapy and hydrogel with embedded stem cell treatment|2/20/2012|10/22/2015|"COVIDIEN;
TYCO HEALTHCARE"|Ross, Anthony B. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9724221_B2|Luminal stenting|2/23/2012|8/8/2017|COVIDIEN|"Huynh, Andy (Westminster);
Losordo, Michael (San Juan Capistrano);
Epstein, Evan (Los Angeles);
Brown, Kenneth (Vista);
Sema, Ghislain (West Covina);
Newell, Gabriel (San Francisco);
Farhat, Lawrence (Oceanside)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US9408728_B2|Procedures for vascular occlusion|12/21/2009|8/9/2016|COVIDIEN|"Berez, Aaron (Portola Valley);
Tran, Quang (Atherton)"|"A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US10004511_B2|Vascular remodeling device|3/25/2011|6/26/2018|COVIDIEN|"Epstein, Evan (Los Angeles);
Newell, Gabriel (San Francisco);
Tran, Quang (Atherton);
Molaei, Masoud (Laguna Niguel)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS"
US9498279_B2|Vessel sealing instrument|10/4/2010|11/22/2016|"COVIDIEN;
TYCO HEALTHCARE"|"Moua, Tony (Broomfield);
Artale, Ryan C. (Boulder);
Joseph, Daniel A. (Golden);
Roy, Jeffrey M. (Boulder);
Dickhans, William J. (Longmont);
Butcher, Dennis W. (Longmont);
Waaler, Luke (Longmont);
Perry, Cynthia M. (Golden);
Collins, Long Meghan (Centennial)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9867658_B2|Knife deployment mechanisms for surgical forceps|2/20/2012|1/16/2018|"COVIDIEN;
TYCO HEALTHCARE"|"Kappus, John J. (Denver);
Hempstead, Russell D. (Lafayette);
Larson, Eric R. (Boulder)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20150313519_A1|Motion energy harvesting with wireless sensors|2/22/2010|11/5/2015|COVIDIEN|Mckenna, Edward (Boulder)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H02N: ELECTRIC MACHINES NOT OTHERWISE PROVIDED FOR;
F03G: SPRING, WEIGHT, INERTIA OR LIKE MOTORS; MECHANICAL-POWER PRODUCING DEVICES OR MECHANISMS, NOT OTHERWISE PROVIDED FOR OR USING ENERGY SOURCES NOT OTHERWISE PROVIDED FOR;
H02K: DYNAMO-ELECTRIC MACHINES"
US9956363_B2|Systems and methods for triggering and cycling a ventilator based on reconstructed patient effort signal|6/6/2008|5/1/2018|COVIDIEN|Masic, Milenko (San Diego)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR;
G01F: MEASURING VOLUME, VOLUME FLOW, MASS FLOW OR LIQUID LEVEL; METERING BY VOLUME"
US9654183_B2|System and method for transferring power to intrabody instruments|3/5/2010|5/16/2017|COVIDIEN|Ma, Yong (Cheshire)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H04B: TRANSMISSION;
H02J: CIRCUIT ARRANGEMENTS OR SYSTEMS FOR SUPPLYING OR DISTRIBUTING ELECTRIC POWER; SYSTEMS FOR STORING ELECTRIC ENERGY"
US20150320495_A1|Management of voltage standing wave ratio at skin surface during microwave ablation|9/29/2009|11/12/2015|COVIDIEN|"Brannan, Joseph D. (Erie);
Haley, Kaylen J. (Westminster);
Bonn, Kenlyn S. (Lakewood)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9247988_B2|Variable resistor jaw|7/21/2008|2/2/2016|COVIDIEN|"Wham, Robert H. (Boulder);
Mckenna, Nicole (Boulder)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9504513_B2|Apparatus for performing electrosurgical procedures having a spring mechanism associated with the jaw members|9/9/2011|11/29/2016|"COVIDIEN;
TYCO HEALTHCARE"|Kerr, Duane E. (Loveland)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9808259_B2|Clip-over disposable assembly for use with hemostat-style surgical instrument and methods of manufacturing same|7/15/2011|11/7/2017|COVIDIEN|Twomey, John R. (Superior)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US9888962_B2|Apparatus and method of use for treating blood vessels|1/29/2010|2/13/2018|COVIDIEN|"Rick, Kyle R. (Boulder);
Prakash, Mani N. (Boulder);
Kim, Steven (Los Altos)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US10188460_B2|Choked dielectric loaded tip dipole microwave antenna|10/17/2008|1/29/2019|COVIDIEN|"Brannan, Joseph D. (Erie);
Willyard, Richard A. (Longmont);
Bonn, Kenlyn S. (Lakewood)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61N: ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY"
US20150320511_A1|System and method for mapping anatomical structures and marking them on a substrate|6/19/2012|11/12/2015|COVIDIEN|Abuzaina, Ferass (Shelton)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS"
US20150320489_A1|Ablation probe fixation|6/29/2009|11/12/2015|COVIDIEN|"Brannan, Joseph D. (Erie);
Rossetto, Francesca (Longmont);
Peterson, Darion (Boulder);
Smith, Ian (Boulder);
Bonn, Kenlyn S. (Lakewood);
Wetz, Richard W. (Erie)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9364232_B2|Tissue stop for surgical instrument|9/23/2008|6/14/2016|"COVIDIEN;
TYCO HEALTHCARE"|Marczyk, Stanislaw (Stratford)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9543750_B2|Surgical generator and related method for mitigating overcurrent conditions|9/9/2011|1/10/2017|"COVIDIEN;
TYCO HEALTHCARE"|"Smith, Robert B. (Loveland);
Rupp, Steven C. (Arvada)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H02H: EMERGENCY PROTECTIVE CIRCUIT ARRANGEMENTS"
US9681916_B2|System and method for treating tissue using an expandable antenna|1/6/2012|6/20/2017|COVIDIEN|"Rossetto, Francesca (Longmont);
Prakash, Mani N. (Boulder);
Lee, Anthony C. (San Francisco);
Bonn, Kenlyn S. (Lakewood)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
F04C: ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS ; ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT PUMPS"
US9693823_B2|System and method for treating tissue using an expandable antenna|1/6/2012|7/4/2017|COVIDIEN|"Rossetto, Francesca (Longmont);
Prakash, Mani N. (Boulder);
Lee, Anthony C. (San Francisco);
Bonn, Kenlyn S. (Lakewood)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20150327928_A1|System and method for performing an ablation procedure|9/9/2009|11/19/2015|COVIDIEN|"Bonn, Kenlyn S. (Lakewood);
Peterson, Darion R. (Boulder);
Smith, Ian S. (Boulder)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9750519_B2|Coupling mechanisms for surgical instruments|11/29/2011|9/5/2017|COVIDIEN|"Mueller, Peter M. (Frederick);
Garrison, David M. (Longmont);
Allen, Iv James D. (Broomfield);
Kerr, Duane E. (Loveland);
Chojin, Edward M. (Boulder);
Evans, Allan J. (Golden)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US9918777_B2|Partitioned surgical instrument|1/23/2012|3/20/2018|COVIDIEN|"Hempstead, Russell D. (Lafayette);
Deborski, Christopher A. (Denver);
Hart, Keir (Lafayette)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20150327943_A1|Surgical forceps|7/11/2011|11/19/2015|"COVIDIEN;
TYCO HEALTHCARE"|"Sims, Grant T. (Littleton);
Collings, Chase (Hayden);
Townsend, Jeffrey R. (Longmont)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US20150327864_A1|Buttress assembly for use with surgical stapling device|12/14/2011|11/19/2015|"COVIDIEN;
TYCO HEALTHCARE"|"Hodgkinson, Gerald (Guilford);
Scirica, Paul (Huntington);
Casasanta, Thomas (Kensington);
Stevenson, Richard (Colchester);
Hislop, Arthur (Plantsville);
Carter, Sally (Nashua)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9366703_B2|System and method for voltage and current sensing|12/17/2012|6/14/2016|COVIDIEN|Gilbert, James A. (Boulder)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G01R: MEASURING ELECTRIC VARIABLES; MEASURING MAGNETIC VARIABLES"
US9375265_B2|Surgical instrument with fiber Bragg grating|7/19/2012|6/28/2016|COVIDIEN|"Kerr, Duane E. (Loveland);
Nau, Jr. William H. (Longmont)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G01L: MEASURING FORCE, STRESS, TORQUE, WORK, MECHANICAL POWER, MECHANICAL EFFICIENCY, OR FLUID PRESSURE;
G01K: MEASURING TEMPERATURE; MEASURING QUANTITY OF HEAT; THERMALLY-SENSITIVE ELEMENTS NOT OTHERWISE PROVIDED FOR"
US9433418_B2|Device and method for controlling compression of tissue|4/27/2009|9/6/2016|"COVIDIEN;
TYCO HEALTHCARE"|"Whitman, Michael P. (New Hope);
Malinouskas, Donald (Monroe);
Zeichner, David (Oxford)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9659374_B2|Feature-based registration method|6/3/2008|5/23/2017|COVIDIEN|Averbuch, Dorian (Ramat Hasharon)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G06T: IMAGE DATA PROCESSING OR GENERATION, IN GENERAL;
G06K: RECOGNITION OF DATA; PRESENTATION OF DATA; RECORD CARRIERS; HANDLING RECORD CARRIERS"
US9844404_B2|Electrosurgical generator|4/10/2012|12/19/2017|COVIDIEN|"Heckel, Donald W. (Thornton);
Behnke, Ii Robert J. (Erie);
Smith, Robert B. (Loveland);
Krapohl, James E. (Broomfield)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US10154798_B2|Locatable catheter|4/8/2009|12/18/2018|COVIDIEN|"Greenburg, Benny (Hod Hasharon);
Averbuch, Dorian (Ramat Hasharon);
Zur, Oded (Kochav-Ya'ir Zur Yigal)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US20150327848_A1|Integral foam port|12/20/2010|11/19/2015|"COVIDIEN;
TYCO HEALTHCARE"|"Kleyman, Gennady (Brooklyn);
Okoniewski, Greg (North Haven)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9358006_B2|Surgical stapling device|9/10/2008|6/7/2016|COVIDIEN|"Hessler, Thomas R. (Bethel);
Wenchell, Thomas (Durham);
Milliman, Keith L. (Port Richey)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9855072_B2|Material removal device and method of use|6/14/2010|1/2/2018|COVIDIEN|Moberg, John Robert (Elk River)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US10123797_B2|Surgical fastener applying apparatus|8/8/2011|11/13/2018|COVIDIEN|"Katre, Nikhil R. (Maharashtra);
Varghese, Cinish P. (Adimaly);
Ambardekar, Sandeep H. (Dadar);
Kapadia, Salman (Madhya Pradesh);
Ambardekar, Sandeep H. (Mumbai);
Gupta, Arvind Kumar (Uttar Pradesh)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20150327917_A1|Compact jaw including split pivot pin|1/22/2010|11/19/2015|"COVIDIEN;
TYCO HEALTHCARE"|Mueller, Peter M. (Frederick)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9247994_B2|Ablation systems, probes, and methods for reducing radiation from an ablation probe into the environment|1/5/2012|2/2/2016|COVIDIEN|Reid, Jr. William O. (Frederick)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9402685_B2|Optical energy-based methods and apparatus for tissue sealing|5/16/2011|8/2/2016|COVIDIEN|"Martsinovskiy, Georgy (Saint-Petersburg);
Misuchenko, Igoris (Saint-Petersburg);
Chernov, Boris (Saint-Petersburg);
Verbitsky, Mikhail (Stoughton)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9962214_B2|Recirculating cooling system for energy deliver device|3/15/2013|5/8/2018|COVIDIEN|"Brannan, Joseph D. (Erie);
Peterson, Darion R. (Boulder);
Larson, Eric W. (Commerce City)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61N: ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY;
F16L: PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES, CABLES OR PROTECTIVE TUBING; MEANS FOR THERMAL INSULATION IN GENERAL"
US10383649_B2|Trigger lockout and kickback mechanism for surgical instruments|1/14/2011|8/20/2019|COVIDIEN|Twomey, John R. (Superior)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US10070865_B2|Travel clip for surgical staple cartridge|3/16/2012|9/11/2018|"COVIDIEN;
TYCO HEALTHCARE"|Scirica, Paul (Huntington)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US10251644_B2|Surgical adapter assemblies for use between surgical handle assembly and surgical end effectors|7/9/2012|4/9/2019|COVIDIEN|"Marczyk, Stanislaw (Stratford);
Williams, Ryan (New Hartford)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
F04C: ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS ; ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT PUMPS"
US20150351890_A1|Device and method for deploying and attaching an implant to a biological tissue|2/18/2008|12/10/2015|"COVIDIEN;
TYCO HEALTHCARE"|"Levin, Ofek (Moshav Amirim);
Levy, Arie (Ramat-Gan);
Levin, Lena (Moshav Amirim)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS"
US9314264_B2|Pin locking mechanism for a surgical instrument|5/6/2009|4/19/2016|"COVIDIEN;
TYCO HEALTHCARE"|"Racenet, Danyel (Killingworth);
Kasvikis, Dino (Mansfield)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US10123799_B2|Adapter assembly for interconnecting electromechanical surgical devices and surgical loading units, and surgical systems thereof|12/9/2013|11/13/2018|COVIDIEN|"Zergiebel, Earl M. (Guilford);
Chowaniec, David (Rocky Hill);
Subramanian, Anand (Stamford);
Williams, Ryan V. (New Hartford)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION;
H01R: ELECTRICALLY-CONDUCTIVE CONNECTIONS; STRUCTURAL ASSOCIATIONS OF A PLURALITY OF MUTUALLY-INSULATED ELECTRICAL CONNECTING ELEMENTS; COUPLING DEVICES; CURRENT COLLECTORS"
US20150342604_A1|Soft tissue graft preparation devices and methods|3/27/2009|12/3/2015|COVIDIEN|"Hotter, Joseph (Middletown);
May, Thomas C. (Wrenthan)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US10076276_B2|Methods and systems for alerting practitioners to physiological conditions|2/19/2008|9/18/2018|COVIDIEN|"Ochs, James (Seattle);
Batchelder, Keith (New York);
Amundson, Scott (Oakland)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR;
G08B: SIGNALLING OR CALLING SYSTEMS; ORDER TELEGRAPHS; ALARM SYSTEMS"
US9848886_B2|Surgical clip applier|1/8/2013|12/26/2017|COVIDIEN|"Rockrohr, Brian (Waterbury);
Malkowski, Jaroslaw T. (Trumbull)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9901390_B2|Vessel sealing instrument with cutting mechanism|9/18/2008|2/27/2018|"COVIDIEN;
TYCO HEALTHCARE"|"Allen, Iv James D. (Broomfield);
Horner, Glenn A. (Boulder);
Cunningham, James S. (Boulder);
Appel, Victor (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9968362_B2|Surgical clip applier|1/8/2013|5/15/2018|COVIDIEN|"Creston, Brian (West Haven);
Zammataro, Thomas (Hamden);
Rockrohr, Brian (Waterbury);
Malkowski, Jaroslaw T. (Trumbull);
Meehan, Christopher M. (New Haven);
Addi, Ernest (Middletown)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9526521_B2|Surgical access assembly and method of use therefor|3/26/2012|12/27/2016|COVIDIEN|Smith, Robert C. (Chapin)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US20150359526_A1|Surgical retrieval apparatus|2/3/2010|12/17/2015|"COVIDIEN;
TYCO HEALTHCARE"|"Fleming, Alistair Ian (Cambridge);
O'prey, Cormac (Hertfordshire);
Gell, Jennifer Rachel (Cambridge)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9668810_B2|Modular surgical instrument with contained electrical or mechanical systems|5/14/2012|6/6/2017|"COVIDIEN;
TYCO HEALTHCARE"|"Mueller, Peter M. (Frederick);
Reschke, Arlen J. (Longmont);
Artale, Ryan C. (Boulder);
Allen, Iv James D. (Broomfield);
Kerr, Duane E. (Loveland);
Horner, Glenn A. (Boulder);
Sharp, Robert M. (Boulder);
Stoddard, Robert B. (Steamboat Springs)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US10363095_B2|Microwave thermometry for microwave ablation systems|6/22/2012|7/30/2019|COVIDIEN|Brannan, Joseph D. (Erie)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G01K: MEASURING TEMPERATURE; MEASURING QUANTITY OF HEAT; THERMALLY-SENSITIVE ELEMENTS NOT OTHERWISE PROVIDED FOR;
G01J: MEASUREMENT OF INTENSITY, VELOCITY, SPECTRAL CONTENT, POLARISATION, PHASE OR PULSE CHARACTERISTICS OF INFRA-RED, VISIBLE OR ULTRA-VIOLET LIGHT; COLORIMETRY; RADIATION PYROMETRY;
H01R: ELECTRICALLY-CONDUCTIVE CONNECTIONS; STRUCTURAL ASSOCIATIONS OF A PLURALITY OF MUTUALLY-INSULATED ELECTRICAL CONNECTING ELEMENTS; COUPLING DEVICES; CURRENT COLLECTORS"
US9439666_B2|Apparatus for performing an electrosurgical procedure|6/2/2010|9/13/2016|COVIDIEN|"Garrison, David M. (Longmont);
Kerr, Duane E. (Loveland)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
